x	y	velocity[m]
5.479886208634939	-1.6266521321661962	1.3178674457178658	-0.04798166274324532
5.424840413271781	-1.7448553503211723	1.3178674457178658	-0.03620991208859134
5.381316076221266	-1.8677707514876207	1.5170351436144098	-0.027436988002012067
5.346799081629921	-1.993513257590017	1.7427743536052909	-0.020865895598310372
5.319258366169052	-2.1209649741229217	1.9984388410982392	-0.01586599548754292
5.297036395428858	-2.2494499650654465	2.2917947159225207	-0.011331499529877139
5.278725842819979	-2.378550324640498	2.690062336999917	-0.009147437278198263
5.26350553032124	-2.508050947390995	3.01828090939377	-0.007348820094439909
5.250744593390774	-2.6378169817042014	3.1274203571430683	-0.004994176455636848
5.239664907705157	-2.767737402663549	2.9968932165153954	-0.0023485982897368403
5.229381008592691	-2.897723248742878	2.8601243307500486	0.0003234138346261055
5.218987085361658	-3.02770035815392	2.7161032759900223	0.003003420065470802
5.20763085253853	-3.157596886319981	2.5635092890706868	0.0046274519920518
5.194540647060791	-3.287330237742921	2.4005571236684644	0.00944410053419714
5.178162000343438	-3.416690266701467	2.2247259102205463	0.016426535609777693
5.156232959365161	-3.5452267894484013	2.032239578865696	0.02417099716493898
5.126178454993251	-3.672110409333607	1.8169432943342676	0.03392187273680155
5.0849447982221925	-3.7958150248677516	1.5673625537881382	0.04662832376316447
5.028957071235364	-3.9135683279999576	1.3368555251593266	0.06173547543697225
4.954767576548358	-4.020792841071651	1.1618283737079007	0.07893599020542547
4.860815983905502	-4.111167274350137	1.0274763785321477	0.07633939303250457
4.751008663965237	-4.181468928848493	1.0448044788966087	0.06237826856793281
4.631144860074947	-4.232814133959089	1.155826690505016	0.05291763701500241
4.50532236362033	-4.2670575992877104	1.2549001045946246	0.046754450247926384
4.376248214173547	-4.285622135743108	1.3350511326917331	0.0438206049770979
4.245898899873536	-4.289269812571238	1.3790188176461646	0.04341060807216514
4.115976974457951	-4.278066507715448	1.3855156712623917	0.046719146056246295
3.988381444509823	-4.251174187237277	1.3355554655425939	0.04979538700335817
3.865312359610652	-4.208118280713389	1.2936441263199088	0.0454970955157145
3.7481868855352793	-4.15080977200553	1.3533731017551012	0.03690216131076947
3.637110793561071	-4.082517593343191	1.5027387158032723	0.027456250855155847
3.531208758571484	-4.006444967882652	1.7421628954557253	0.017993587606643408
3.4289998640135018	-3.925478527717586	2.1520407745931003	0.009087731280066505
3.328734644093945	-3.842117576148282	2.5761721421061106	8.107063571899147e-05
3.2285125494525566	-3.7587037097798577	2.9304754790457683	-0.007332578040400724
3.1267904995751064	-3.677129629630395	3.177612417915987	-0.008962095028179335
3.023189575329029	-3.5979520052946654	3.0493312513175614	-0.008636812312701275
2.917833866909861	-3.5211263527575953	3.10622303479004	-0.008488588665964447
2.8108030639155164	-3.446651555351292	3.133225354797108	-0.008256423940674615
2.702194292329642	-3.3744976133668736	3.1769719818350475	-0.007995981161978314
2.5921040529399964	-3.3046248067271975	3.22829709889725	-0.007755200317547299
2.480626478087867	-3.2369873308309174	3.278029570144523	-0.007296609737267423
2.3678977879338223	-3.1714566688267194	3.379471729505479	-0.005631047989620303
2.254217979330422	-3.1075896094567934	3.6495561608686358	-0.003628593914159772
2.1399391750750016	-3.044800821790437	3.899653616802101	-0.0016600889924641084
2.025389449525969	-2.9825076079424555	4.024436865479853	0.0003064727564565224
1.9108894064292397	-2.9201231089935487	3.9247682754457096	0.0022599868573512797
1.7967598360490609	-2.8570635370037962	3.822431278772609	0.004261146096260131
1.6833353179460513	-2.79274392965411	3.717197167575746	0.006117415460554812
1.570897283070133	-2.7267162327377505	3.6088020036252075	0.0045915626783503026
1.4592578917010073	-2.659345887178011	3.4969399779483337	0.002123757536476067
1.3479928229805749	-2.591359412710144	3.38125007272864	-0.0003424390763317669
1.2366674270746012	-2.5234717324224416	3.261305457101448	-0.002799765114067357
1.124848978099493	-2.456399149164616	3.1365917172854023	-0.005268355959591737
1.0121218681250355	-2.390865816134843	3.006480698045887	-0.007630693018052263
0.8981069452418149	-2.327597652560522	2.870191765522276	-0.010264483434175362
0.7825773133285931	-2.2671437225694753	2.726731285179516	-0.005098293461458601
0.6662602912906221	-2.2082153633801607	2.574808306694126	0.0022375406737537656
0.5502887082376446	-2.1486109978419616	2.412673893315658	0.009605017870657035
0.43584942701435025	-2.086115089723984	2.237875922451342	0.01713312666754742
0.32431753214722203	-2.01856713838667	2.0467558315772294	0.024791745604004253
0.21737461252930323	-1.9439678671845169	1.8333940752705702	0.032079441741565295
0.11702163696490953	-1.8607106866562333	1.6117436803414158	0.03869509904923551
0.02538778483409576	-1.7679480416085607	1.4675111026277063	0.038907525498089866
-0.05636443257637502	-1.6663627290123344	1.4634994771253365	0.038476007074020234
-0.12748006068628737	-1.5570663617291842	1.4716833586053675	0.03962247524988959
-0.1869049955637747	-1.4409982274569835	1.4502356457791112	0.04220139164572509
-0.23318183451366536	-1.3190891596012264	1.4052253981585943	0.0462271768074105
-0.26443192362394985	-1.1924962203733465	1.3426434314116378	0.05124550559042564
-0.2784853429180849	-1.0628557087005674	1.2752093426021618	0.05777607303882577
-0.2730930282201811	-0.9325844116918951	1.2009788711680367	0.0577447722012921
-0.24826238223033137	-0.8045781396015332	1.2013043253199127	0.052357146468088686
-0.20618363087726888	-0.6811574322366418	1.261599163951693	0.047234481576166734
-0.14922119849353344	-0.5638615508629758	1.3282499261178737	0.04347636403260365
-0.07931693082104552	-0.4537846831120227	1.384467511070933	0.04115569948833643
0.0020023598355827232	-0.35185236513617824	1.4229655412357989	0.04021226424457361
0.09357889237989081	-0.25902168265117	1.439561134880845	0.0412879260874341
0.19459279029245025	-0.17657046876418647	1.420685155700512	0.04176415289281985
0.3039437740224864	-0.10555195014812924	1.41256206366147	0.03820814680691479
0.4198132109794326	-0.04574740753144013	1.4768330065462467	0.03234113807097548
0.5403083468342729	0.0040805103622503225	1.6052095237019564	0.026224918470991194
0.6639293884223703	0.045553613519018654	1.7825934385426268	0.020106243212580116
0.7895560349229749	0.0804839593174318	2.035841256611871	0.014333128992361483
0.9164001372571882	0.11069456054094928	2.4112312985882114	0.008629950991563494
1.0438959903392568	0.13802596875218143	2.789770216822707	0.0039165676304074686
1.171670531603798	0.16402132310790485	3.1169467503667683	0.0014392676521544215
1.2995432171282815	0.18952920146608498	3.409779628524727	-0.0002254989008843484
1.4274005646805232	0.2151140637804101	3.519690650120472	-0.002079457550495364
1.5551173006277157	0.24139177831426295	3.404801075359455	-0.003907811712879031
1.682559642364735	0.26896943967339837	3.2857487255995035	-0.005731820519227233
