x	y	velocity[m]
6.887294234505429	-3.6310377323296237	2.8441747312407233	0.010301636148440362
6.926761658140622	-3.4966725473071456	2.8441747312407233	0.009035133722556793
6.969619321770027	-3.3633500218939307	3.0369810683544713	0.007815615084593577
7.01538008137214	-3.2309956904698147	3.11789383388196	0.006567149187469708
7.063588897822571	-3.099513507165071	2.9767586033939506	0.005471479842690344
7.113718017224853	-2.968751133275143	2.8282106696405216	0.0019161549422255714
7.164420608579622	-2.8382100300787716	2.6709140990826095	-0.004422389093644867
7.2135238543606555	-2.7070589864854764	2.5030699330587267	-0.010334351960444407
7.258795734260984	-2.574536677995587	2.3221488868676827	-0.016597662636612713
7.29785247311405	-2.4400517425828383	2.1243856430848	-0.02299445758646994
7.328173501967241	-2.3033324985674515	1.903696854087047	-0.02926133958057091
7.347209686558241	-2.164591650202272	1.6875718596224392	-0.0348097917382843
7.352726635031983	-2.0246605781585476	1.5472434914499966	-0.03767232213334263
7.343627815008766	-1.8849101243065345	1.4872986421364254	-0.03724337550916997
7.319942692801934	-1.7468828034755788	1.495839023921343	-0.0387799070557095
7.2813809484895256	-1.6122501455304832	1.4659055700359818	-0.04150050205061642
7.227410160798378	-1.4830210533103951	1.4170419317818308	-0.045376004301763743
7.157457102148353	-1.361697084680161	1.3551777163928211	-0.05000802073875388
7.071258225783804	-1.251319630673505	1.290890913899967	-0.05446219004401126
6.969320412496758	-1.155285020906053	1.2369775747093605	-0.05819272090453701
6.853533895486304	-1.0764871904746176	1.196671767459224	-0.05141817031729455
6.727588166657187	-1.0152190560698795	1.2730664344689278	-0.046599799899854445
6.594684184304468	-0.971030277203834	1.3372646090063978	-0.04513447608175174
6.457247306972162	-0.9440685887427325	1.358798861127103	-0.04660079572910108
6.3174606654649015	-0.9353458658810219	1.337250320684689	-0.05161205721836897
6.177898431274468	-0.9469595899076744	1.2706729709248044	-0.060341403705509264
6.042318932603202	-0.9820900493840696	1.1751726420808741	-0.07613664039668841
5.917158332783906	-1.0448158759499098	1.0461947163529506	-0.08314210717087368
5.809481106180861	-1.1342712855997714	1.0011493354004288	-0.06802020292194387
5.720778228327797	-1.2426329776244174	1.1068541949528685	-0.049600695626399884
5.64807421348787	-1.362322854617183	1.2961805291566433	-0.034429427452604654
